Time,Oxygen Level,Pulse Rate,Motion
17:41:19 16/08/2026,96,122,0
17:41:21 16/08/2026,96,121,0
17:41:23 16/08/2026,96,120,0
17:41:25 16/08/2026,96,120,0
17:41:27 16/08/2026,96,120,0
17:41:29 16/08/2026,96,120,0
17:41:31 16/08/2026,96,122,0
17:41:33 16/08/2026,96,124,0
17:41:35 16/08/2026,96,125,0
17:41:37 16/08/2026,96,126,0
17:41:39 16/08/2026,96,125,0
17:41:41 16/08/2026,96,127,0
17:41:43 16/08/2026,97,128,0
17:41:45 16/08/2026,97,128,0
17:41:47 16/08/2026,97,128,0
17:41:49 16/08/2026,97,127,0
17:41:51 16/08/2026,97,126,0
17:41:53 16/08/2026,97,126,0
17:41:55 16/08/2026,97,127,0
17:41:57 16/08/2026,97,126,0
17:41:59 16/08/2026,97,127,0
17:42:01 16/08/2026,97,126,0
17:42:03 16/08/2026,97,125,0
17:42:05 16/08/2026,97,124,0
17:42:07 16/08/2026,97,125,0
17:42:09 16/08/2026,97,126,0
17:42:11 16/08/2026,96,128,1
17:42:13 16/08/2026,96,128,0
17:42:15 16/08/2026,96,129,13
17:42:17 16/08/2026,96,128,1
17:42:19 16/08/2026,97,127,0
17:42:21 16/08/2026,97,128,0
17:42:23 16/08/2026,97,128,0
17:42:25 16/08/2026,97,128,0
17:42:27 16/08/2026,97,128,0
17:42:29 16/08/2026,97,126,0
17:42:31 16/08/2026,96,125,1
17:42:33 16/08/2026,96,125,0
17:42:35 16/08/2026,96,126,0
17:42:37 16/08/2026,96,127,6
17:42:39 16/08/2026,96,128,1
17:42:41 16/08/2026,96,129,1
17:42:43 16/08/2026,96,129,0
17:42:45 16/08/2026,96,127,0
17:42:47 16/08/2026,96,123,0
17:42:49 16/08/2026,96,119,0
17:42:51 16/08/2026,96,118,0
17:42:53 16/08/2026,96,117,0
17:42:55 16/08/2026,96,119,0
17:42:57 16/08/2026,96,122,0
17:42:59 16/08/2026,96,124,0
17:43:01 16/08/2026,96,124,0
17:43:03 16/08/2026,96,124,1
17:43:05 16/08/2026,96,124,0
17:43:07 16/08/2026,96,124,1
17:43:09 16/08/2026,96,124,1
17:43:11 16/08/2026,96,124,0
17:43:13 16/08/2026,96,124,0
17:43:15 16/08/2026,96,125,0
17:43:17 16/08/2026,96,124,0
17:43:19 16/08/2026,96,123,0
17:43:21 16/08/2026,96,122,0
17:43:23 16/08/2026,96,121,0
17:43:25 16/08/2026,96,122,0
17:43:27 16/08/2026,96,122,1
17:43:29 16/08/2026,96,122,0
17:43:31 16/08/2026,96,123,0
17:43:33 16/08/2026,96,122,0
17:43:35 16/08/2026,96,122,1
17:43:37 16/08/2026,96,122,0
17:43:39 16/08/2026,96,122,0
17:43:41 16/08/2026,96,122,1
17:43:43 16/08/2026,96,122,1
17:43:45 16/08/2026,96,122,0
17:43:47 16/08/2026,96,121,0
17:43:49 16/08/2026,96,122,0
17:43:51 16/08/2026,96,122,1
17:43:53 16/08/2026,96,122,0
17:43:55 16/08/2026,96,122,0
17:43:57 16/08/2026,96,122,1
17:43:59 16/08/2026,96,122,3
17:44:01 16/08/2026,96,122,0
17:44:03 16/08/2026,96,119,0
17:44:05 16/08/2026,96,120,0
17:44:07 16/08/2026,96,118,0
17:44:09 16/08/2026,96,118,1
17:44:11 16/08/2026,96,120,0
17:44:13 16/08/2026,97,120,0
17:44:15 16/08/2026,97,120,0
17:44:17 16/08/2026,96,120,0
17:44:19 16/08/2026,95,121,1
17:44:21 16/08/2026,95,121,3
17:44:23 16/08/2026,95,121,5
17:44:25 16/08/2026,97,121,0
17:44:27 16/08/2026,96,119,1
17:44:29 16/08/2026,96,119,0
17:44:31 16/08/2026,96,119,0
17:44:33 16/08/2026,95,119,0
17:44:35 16/08/2026,96,119,0
17:44:37 16/08/2026,96,119,1
17:44:39 16/08/2026,96,120,0
17:44:41 16/08/2026,96,120,1
17:44:43 16/08/2026,96,122,1
17:44:45 16/08/2026,96,123,1
17:44:47 16/08/2026,96,123,0
17:44:49 16/08/2026,96,123,0
17:44:51 16/08/2026,96,123,0
17:44:53 16/08/2026,96,124,0
17:44:55 16/08/2026,96,124,0
17:44:57 16/08/2026,96,125,1
17:44:59 16/08/2026,96,126,1
17:45:01 16/08/2026,96,125,0
17:45:03 16/08/2026,96,125,0
17:45:05 16/08/2026,96,125,0
17:45:07 16/08/2026,96,125,0
17:45:09 16/08/2026,96,126,1
17:45:11 16/08/2026,96,127,0
17:45:13 16/08/2026,96,128,0
17:45:15 16/08/2026,97,128,0
17:45:17 16/08/2026,96,128,1
17:45:19 16/08/2026,96,127,0
17:45:21 16/08/2026,96,125,1
17:45:23 16/08/2026,96,124,1
17:45:25 16/08/2026,96,124,0
17:45:27 16/08/2026,96,124,0
17:45:29 16/08/2026,96,124,0
17:45:31 16/08/2026,96,124,0
17:45:33 16/08/2026,96,122,1
17:45:35 16/08/2026,96,121,2
17:45:37 16/08/2026,96,120,0
17:45:39 16/08/2026,96,119,1
17:45:41 16/08/2026,96,119,1
17:45:43 16/08/2026,97,118,0
